username,created_at,text
jsytes0339,2024-08-31 10:07:52+00:00,"@Versace 🔥🔥🔥🔥🔥

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
akipogvarkala2,2024-08-31 10:06:56+00:00,"@Versace She suits Versace perfectly 

#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
syuzi73933752,2024-08-31 10:06:55+00:00,@Versace Versace princess
syuzi73933752,2024-08-31 10:06:47+00:00,@Versace NINGNING
ALingorm71635,2024-08-31 10:01:33+00:00,"@Versace ningsace😍

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
aespaningningeu,2024-08-31 10:00:55+00:00,"@Versace SLAY

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
cndyleen__,2024-08-31 10:00:46+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
zoe_imnot,2024-08-31 09:54:02+00:00,@Versace 🤩🤩🤩
zoe_imnot,2024-08-31 09:53:48+00:00,@Versace @roxknnroll Baby💖
zoe_imnot,2024-08-31 09:53:41+00:00,@Versace @roxknnroll Sooo pretty
zoe_imnot,2024-08-31 09:53:37+00:00,@Versace @roxknnroll My love 💖
zoe_imnot,2024-08-31 09:53:30+00:00,@Versace @roxknnroll Ningning so beautiful 😻
zoe_imnot,2024-08-31 09:53:23+00:00,@Versace @roxknnroll Versace princess 👸💖
zoe_imnot,2024-08-31 09:53:16+00:00,@Versace @roxknnroll Queen 👸
zoe_imnot,2024-08-31 09:53:10+00:00,@Versace @roxknnroll Pretty girl 💖
zoe_imnot,2024-08-31 09:52:54+00:00,"@Versace @roxknnroll VERSACE PRINCESS

#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
ZhuYu53470,2024-08-31 09:50:34+00:00,"@Versace supermodel  ningning！

#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
MillieKerr12,2024-08-31 09:49:52+00:00,@Versace Superstar ningning🩷
